step,reward,reward_per_step,actor_loss,critic_loss,entropy,learning_rate,kl_divergence,fps_total
0,,65.55974578857422,0.2774365246295929,1.35539710521698,29.80909538269043,2.9263832402648404e-05,0.24569153785705566,10689.310546875
1,65.55974578857422,,,,,,,
2,50.19289779663086,,,,,,,
3,52.75267791748047,,,,,,,
4,52.72216796875,,,,,,,
5,56.729339599609375,,,,,,,
6,59.13081359863281,,,,,,,
7,62.698524475097656,,,,,,,
8,69.31513977050781,,,,,,,
9,77.13554382324219,,,,,,,
10,84.38652038574219,,,,,,,
11,89.7748031616211,,,,,,,
12,88.92080688476562,,,,,,,
13,89.63275146484375,,,,,,,
14,102.08077239990234,,,,,,,
15,102.6982421875,,,,,,,
16,103.03665924072266,,,,,,,
17,109.24954986572266,,,,,,,
18,111.78173828125,,,,,,,
19,116.55667877197266,,,,,,,
20,122.18488311767578,,,,,,,
21,119.78126525878906,,,,,,,
22,130.46644592285156,,,,,,,
23,127.95619201660156,,,,,,,
24,135.2482452392578,,,,,,,
25,137.08163452148438,,,,,,,
26,144.64993286132812,,,,,,,
27,139.44613647460938,,,,,,,
28,144.32395935058594,,,,,,,
29,146.5398406982422,,,,,,,
30,152.6771697998047,,,,,,,
31,157.57232666015625,,,,,,,
32,165.86875915527344,,,,,,,
33,166.1525115966797,,,,,,,
34,166.4033966064453,,,,,,,
35,170.9111328125,,,,,,,
36,167.25978088378906,,,,,,,
37,181.04014587402344,,,,,,,
38,178.9428253173828,,,,,,,
39,182.4656524658203,,,,,,,
40,194.2333984375,,,,,,,
41,197.82476806640625,,,,,,,
42,208.0641326904297,,,,,,,
43,201.9241485595703,,,,,,,
44,211.97769165039062,,,,,,,
45,217.72972106933594,,,,,,,
46,219.95343017578125,,,,,,,
47,223.2119903564453,,,,,,,
48,233.3675537109375,,,,,,,
49,243.33847045898438,,,,,,,
50,244.02584838867188,,,,,,,
51,252.4359130859375,,,,,,,
52,265.2377014160156,,,,,,,
53,263.81976318359375,,,,,,,
54,274.5152587890625,,,,,,,
55,269.8988037109375,,,,,,,
56,280.9114685058594,,,,,,,
57,308.93804931640625,,,,,,,
58,312.6692810058594,,,,,,,
59,315.6147766113281,,,,,,,
60,325.1965637207031,,,,,,,
61,330.84539794921875,,,,,,,
62,359.2546081542969,,,,,,,
63,343.1033630371094,,,,,,,
64,373.4086608886719,,,,,,,
65,373.9764404296875,,,,,,,
66,372.417724609375,,,,,,,
67,382.9814453125,,,,,,,
68,410.7942810058594,,,,,,,
69,409.443359375,,,,,,,
70,431.17889404296875,,,,,,,
71,491.6338806152344,,,,,,,
72,476.38037109375,,,,,,,
73,483.5809326171875,,,,,,,
74,525.5621337890625,,,,,,,
75,542.4998168945312,,,,,,,
76,528.161865234375,,,,,,,
77,590.2774047851562,,,,,,,
78,551.9583740234375,,,,,,,
79,589.0485229492188,,,,,,,
80,603.5951538085938,,,,,,,
81,660.9769287109375,,,,,,,
82,687.8677368164062,,,,,,,
83,661.677734375,,,,,,,
84,728.5081787109375,,,,,,,
85,716.4283447265625,,,,,,,
86,800.89599609375,,,,,,,
87,834.2960815429688,,,,,,,
88,846.1702880859375,,,,,,,
89,864.8927001953125,,,,,,,
90,882.4797973632812,,,,,,,
91,963.940185546875,,,,,,,
92,1039.6151123046875,,,,,,,
