step,reward,reward_per_step,actor_loss,critic_loss,entropy,learning_rate,kl_divergence,fps_total
0,,67.26835632324219,0.01024538278579712,2.051785945892334,29.78507423400879,0.00022222222469281405,0.015539059415459633,9224.22265625
1,67.26835632324219,,,,,,,
2,54.08393096923828,,,,,,,
3,57.65458297729492,,,,,,,
4,60.96677017211914,,,,,,,
5,62.2375373840332,,,,,,,
6,71.38514709472656,,,,,,,
7,71.61212921142578,,,,,,,
8,82.98431396484375,,,,,,,
9,83.34163665771484,,,,,,,
10,90.00545501708984,,,,,,,
11,99.36146545410156,,,,,,,
12,103.3298110961914,,,,,,,
13,108.75672912597656,,,,,,,
14,103.12857055664062,,,,,,,
15,112.14282989501953,,,,,,,
16,119.10208892822266,,,,,,,
17,117.60218811035156,,,,,,,
18,120.66753387451172,,,,,,,
19,124.77491760253906,,,,,,,
20,119.93858337402344,,,,,,,
21,120.07701110839844,,,,,,,
22,125.37118530273438,,,,,,,
23,126.39888763427734,,,,,,,
24,131.03746032714844,,,,,,,
25,131.44932556152344,,,,,,,
26,129.51651000976562,,,,,,,
27,126.64422607421875,,,,,,,
28,133.0028839111328,,,,,,,
29,134.31204223632812,,,,,,,
30,137.4356231689453,,,,,,,
31,133.79434204101562,,,,,,,
32,138.69085693359375,,,,,,,
33,140.4998779296875,,,,,,,
34,136.02403259277344,,,,,,,
35,135.25405883789062,,,,,,,
36,149.3129119873047,,,,,,,
37,142.5287628173828,,,,,,,
38,148.00067138671875,,,,,,,
39,143.26901245117188,,,,,,,
40,146.19610595703125,,,,,,,
41,143.68800354003906,,,,,,,
42,153.62049865722656,,,,,,,
43,148.00672912597656,,,,,,,
44,150.48812866210938,,,,,,,
45,150.9064483642578,,,,,,,
46,156.6952667236328,,,,,,,
47,160.4213104248047,,,,,,,
48,161.3546142578125,,,,,,,
49,154.73883056640625,,,,,,,
50,161.84384155273438,,,,,,,
51,154.55088806152344,,,,,,,
52,160.17379760742188,,,,,,,
53,160.8943328857422,,,,,,,
54,168.608154296875,,,,,,,
55,168.3697052001953,,,,,,,
56,170.47183227539062,,,,,,,
57,172.97335815429688,,,,,,,
58,170.63644409179688,,,,,,,
59,173.6822967529297,,,,,,,
60,179.3084716796875,,,,,,,
61,175.9189453125,,,,,,,
62,180.94293212890625,,,,,,,
63,188.6518096923828,,,,,,,
64,198.10842895507812,,,,,,,
65,196.33741760253906,,,,,,,
66,201.95733642578125,,,,,,,
67,199.51101684570312,,,,,,,
68,201.60414123535156,,,,,,,
69,195.62066650390625,,,,,,,
70,212.08143615722656,,,,,,,
71,220.6673583984375,,,,,,,
72,221.86712646484375,,,,,,,
73,231.7191619873047,,,,,,,
74,225.14224243164062,,,,,,,
75,228.7509002685547,,,,,,,
76,224.31808471679688,,,,,,,
77,243.712646484375,,,,,,,
78,248.61282348632812,,,,,,,
79,242.80416870117188,,,,,,,
80,263.11273193359375,,,,,,,
81,257.64141845703125,,,,,,,
82,274.04461669921875,,,,,,,
83,269.7767333984375,,,,,,,
84,286.0720520019531,,,,,,,
85,281.8234558105469,,,,,,,
86,298.55731201171875,,,,,,,
87,275.2448425292969,,,,,,,
88,293.71588134765625,,,,,,,
89,306.87744140625,,,,,,,
90,297.2284851074219,,,,,,,
91,308.9892578125,,,,,,,
92,326.6123046875,,,,,,,
93,310.9094543457031,,,,,,,
94,337.8484802246094,,,,,,,
95,337.241943359375,,,,,,,
96,335.6584167480469,,,,,,,
